Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,"9,224.37",Afghanistan,"1,528.18",,Afghanistan,500,26,11.00%,,,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Timor-Leste,SEA,"1,240,977.00","East, South and South-East Asia",A,"3,324.53","2,800.05",524.48,97.14,97.14,97.14,,,25.18%,,,25.18%,,,,,,,,4.05,0.02,1.51,0.0,0.0,3.12,1.14,0.34,1.66,3.78,0.06,15.68,,,,,,,,,,,,,,,,,,,,,,,,,,,Sri Lanka,"2,442.16",Sub-Saharan Africa,"12,906,378.00",,Viet Nam,"4,900","4,865",95.00%,,,,,,,,Yemen,15 [9-26],1 355,15.00%,"1,355.00",4.048354792518023,0.01645355994806772,1.512162656965454,0.0,0.0,3.1205123854702737,1.140442803494911,0.3450352089421063,1.6585460362330655,3.7041255264293538,0.06470396536749003,15.610336935368748
Togo,AFR,"7,416,802.00",Sub-Saharan Africa,A,"333,705.77","270,540.80","63,164.97",97.14,97.14,97.14,"43,603.00","106,349",41.00%,"40,545","97,349",41.65%,"3,058.00","9,000.00",34%,"120,000","19,000","49,979.05","6,460.00",809.51,47.43,335.81,1.34,6.86,544.0,187.11,87.29,356.15,626.78,10.34,3012.62,,,,,,,,,,,,,,,,,,,,,,,,,,,Stockholm,607.32,Sudan,"21,937.77",,Yemen,500,140,32.00%,,,,,,,,Zambia,63 [59-66],758 646,63.00%,"758,646.00",809.096500412763,47.29447349311365,335.3331545173186,1.3412037871268425,6.864560583409632,544.0323838504629,187.12389350644247,87.19454332195464,355.804870181097,615.0980468257117,10.347215938615891,2999.5308464180166
Tokelau,WPR,,,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,"37,183,438.00",Suriname,147.16,,Zambia,"85,000","51,903",61.00%,,,,,,,,Zimbabwe,62 [56-67],878 461,62.00%,"878,461.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tonga,WPR,"106,364.00",Oceania,A,70.98,58.53,12.45,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.12,0.0,0.05,0.0,0.0,0.1,0.04,0.01,0.05,0.12,0.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudan,"199,167.10",Swaziland,"72,240.03",,Zimbabwe,"77,000","61,064",80.00%,,,,,,,,,,,,,0.1244707209067444,0.0004968553875182678,0.04629134540159369,0.0,0.0,0.09629483370654873,0.03505128797530268,0.010447259325819271,0.0508255217300688,0.11406130934440369,0.001954394119610272,0.4798935278976098
Trinidad and Tobago,AMR,"1,360,092.00",,B,"10,906.39","10,470.87",435.52,90.00,90.00,97.14,"6,720.00","10,839",62.00%,"6,589","10,739",61.36%,131.00,100.00,95%,"14,000",202,"8,590.05",192.18,148.29,3.68,57.79,0.09,0.47,108.96,38.54,13.31,62.58,128.74,2.06,564.51,,,,,,,,,,,,,,,,,,,,,,,,,,,Suriname,"6,141.12",Sweden,38.85,,,,,,,,,,,,,,,,,,148.28128875019368,3.669683236752585,57.75999898093555,0.09054986790761581,0.467534053487198,108.97026882618874,38.538848929963265,13.306041190850966,62.557637105923654,126.4160827664083,2.0644144805500972,562.1223481891616
Tunisia,EMR,"11,273,661.00",Middle East and North Africa,A,"4,388.28","4,206.57",181.71,79.00,97.14,97.14,734.00,"2,621",28.00%,714,"2,621",27.24%,20.00,,,"1,700",576,463.03,0.00,48.46,0.2,18.09,0.0,0.0,37.38,13.65,4.12,19.84,45.23,0.77,187.74,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaziland,"280,416.90",Sweden except Stockholm,22.07,,,,,,,,,,,,,,,,,,48.47097857328139,0.19635397684582698,18.09097158450186,0.0,0.0,37.38683945752701,13.653767883440572,4.119628046694487,19.846076510624275,44.36187924599514,0.7722024418761914,186.89869772078677
Turkey,EUR,"78,271,472.00",Europe and Central Asia,A,"9,611.37","8,426.08","1,185.29",97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"104,177",140,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,"1,166.96",Switzerland,62.11,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkmenistan,EUR,"5,565,284.00",Europe and Central Asia,A,"17,007.76","16,269.72",738.04,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden except Stockholm,559.64,Syria,235.63,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,AMR,"34,339.00",,B,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,"2,623.45",Taiwan,255.25,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuvalu,WPR,"11,001.00",Oceania,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Syria,"1,155.35",Tajikistan,809.62,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,AFR,"40,144,870.00",Sub-Saharan Africa,A,"2,135,621.70","1,704,291.00","431,330.70",78.00,77.00,80.00,"834,931.00","1,464,791",57.00%,"774,902","1,368,791",56.61%,"60,029.00","96,000.00",63%,"1,200,000","190,000","679,345.67","119,700.00",59920.99,4624.63,26052.85,130.62,671.58,37853.5,12631.2,6813.7,27316.3,42585.22,681.53,219282.13,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan,"12,655.70",Tanzania,"542,872.60",,,,,,,,,,,,,,,,,,59876.13313642213,4611.820548610722,26005.32613125774,130.68144603795847,671.6354991168562,37853.923379309585,12631.164262688359,6802.919568426972,27281.46085221575,41812.46172546148,681.8854707325755,218359.41202028014
Ukraine,EUR,"45,154,029.00",Europe and Central Asia,A,"372,178.14","368,306.80","3,871.34",86.00,97.14,97.14,"60,753.00","216,975",28.00%,"58,338","213,775",27.29%,"2,415.00","3,200.00",75%,"240,000","3,043","65,494.66","2,282.31",2939.45,42.01,1125.13,0.89,4.58,2206.08,798.45,262.35,1225.11,2649.11,45.13,11298.28,,,,,,,,,,,,,,,,,,,,,,,,,,,Tajikistan,"8,162.65",Thailand,"1,301.90",,,,,,,,,,,,,,,,,,2939.447591911512,41.92779661927787,1124.8867976325187,0.8889642138172834,4.57671591293875,2206.228696394691,798.4976453515965,262.3988357859655,1224.9293135852429,2598.1118364541667,45.15634363551166,11247.05053749724
United Arab Emirates,EMR,"9,154,302.00",,A,"13,202.44","12,903.31",299.13,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,27.44,0.11,10.21,0.0,0.0,21.23,7.73,2.3,11.2,25.63,0.43,106.28,,,,,,,,,,,,,,,,,,,,,,,,,,,Tanzania,"2,157,596.00",The Bahamas,29.40,,,,,,,,,,,,,,,,,,27.44036046101494,0.10953492380519972,10.205220912930768,0.0,0.0,21.228807290518493,7.7272789107227515,2.3031646289328047,11.204808863741913,25.14553961176725,0.4308585885444801,105.7955741919786
United Kingdom of Great Britain and Northern Ireland,EUR,"65,128,861.00",Europe and Central Asia,A,0.00,0.00,0.00,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"86,685",116,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Thailand,"617,388.60",The Gambia,"11,489.06",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,AMR,"320,896,618.00",,B,"360,805.20","354,844.30","5,960.90",97.14,97.14,97.14,,,36.37%,,,36.37%,,,,"1,079,414","1,709","392,600.66",0.00,754.58,3.01,280.64,0.0,0.0,583.8,212.5,63.31,308.14,704.94,11.84,2922.77,,,,,,,,,,,,,,,,,,,,,,,,,,,The Bahamas,"4,584.67",Timor-Leste,524.48,,,,,,,,,,,,,,,,,,754.6168773389558,3.0122382057944384,280.6461653013281,0.0,0.0,583.7975885907515,212.5021313120569,63.337611863810196,308.1350876548958,691.5087215342281,11.848720541555156,2909.4051423433757
Uruguay,AMR,"3,431,552.00",Latin America and the Caribbean,B,"7,386.93","7,240.11",146.82,97.14,97.14,97.14,"6,113.00","10,188",60.00%,"6,000","10,088",59.47%,113.00,100.00,95%,"13,000",262,"7,731.70",249.15,27.27,0.4,10.35,0.01,0.05,20.61,7.36,2.34,11.29,24.56,0.4,104.63,,,,,,,,,,,,,,,,,,,,,,,,,,,The Gambia,"27,038.66",Togo,"63,164.97",,,,,,,,,,,,,,,,,,27.263711906915045,0.403769355390994,10.348749266605564,0.008730336240292291,0.04507714461709049,20.61032528431768,7.363169177492645,2.3387554250456426,11.289695832533978,24.106821611662667,0.3956464767916546,104.17445181761326
US Virgin Islands,AMR,"103,574.00",,B,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Timor-Leste,"2,800.05",Tonga,12.45,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,EUR,"31,298,900.00",Europe and Central Asia,A,"25,773.32","25,647.92",125.40,90.00,88.00,95.00,"13,186.00","32,965",40.00%,"8,611","31,965",26.94%,"4,575.00","1,000.00",95%,"29,000","2,109","7,812.26","2,003.87",142.34,1.47,54.04,0.03,0.13,107.87,39.18,12.46,59.0,129.93,2.22,548.66,,,,,,,,,,,,,,,,,,,,,,,,,,,Togo,"270,540.80",Trinidad and Tobago,435.52,,,,,,,,,,,,,,,,,,142.34686684963722,1.4694010093719254,54.03771634109533,0.026072174493972776,0.13461785981652882,107.87802883986951,39.18698011316824,12.464563438584587,58.99649269982092,127.42409722154154,2.217285129251409,546.1821216766513
Vanuatu,WPR,"264,603.00",Oceania,A,616.85,521.57,95.28,57.00,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,16.68,0.07,6.2,0.0,0.0,12.9,4.7,1.4,6.81,15.58,0.26,64.59,,,,,,,,,,,,,,,,,,,,,,,,,,,Tonga,58.53,Tropical Latin America,"46,895.80",,,,,,,,,,,,,,,,,,16.676453876639794,0.06656815267838159,6.202064878017829,0.0,0.0,12.901478686454256,4.6961340223528945,1.3997126152651682,6.809548966320158,15.281812064189825,0.26184763095310987,64.29562089287141
Venezuela,AMR,"31,155,134.00",Latin America and the Caribbean,B,"101,078.99","96,054.95","5,024.04",97.14,97.14,97.14,,,36.37%,,,100.00%,,,,"99,000","2,381","99,000.00",0.00,629.35,2.24,227.14,0.0,0.0,498.04,176.23,47.9,250.81,592.26,8.83,2432.81,,,,,,,,,,,,,,,,,,,,,,,,,,,Trinidad and Tobago,"10,470.87",Tunisia,181.71,,,,,,,,,,,,,,,,,,629.4136473145509,2.244011941416257,227.15178921747437,0.0,0.0,498.06440407756605,176.23665367510762,47.92352418569773,250.82259970397598,582.2629706844347,8.839773022418733,2422.959373822642
Viet Nam,WPR,"91,713,300.00","East, South and South-East Asia",A,0.00,0.00,0.00,97.14,97.14,97.14,"106,373.00","253,269",42.00%,"101,508","248,369",40.87%,"4,865.00","4,900.00",95%,"250,000","7,868","102,174.57","7,474.13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Latin America,"927,190.60",Turkey,"1,185.29",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wallis and Futuna Islands,WPR,,,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,"4,206.57",Turkmenistan,738.04,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Bank and Gaza Strip,EMR,"4,422,143.00",Middle East and North Africa,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,0.00%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkey,"8,426.08",Uganda,"431,330.70",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yemen,EMR,"26,916,207.00",Middle East and North Africa,A,"8,187.55","7,299.47",888.08,97.14,97.14,97.14,"1,355.00","9,033",15.00%,"1,215","8,533",14.24%,140.00,500.00,32%,"13,000","1,374","1,850.98",439.79,7.77,0.62,3.37,0.02,0.09,4.89,1.65,0.93,3.53,5.54,0.1,28.51,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkmenistan,"16,269.72",Ukraine,"3,871.34",,,,,,,,,,,,,,,,,,7.769791382106517,0.6144449952772805,3.366532549298151,0.017746366899629162,0.09080373702045093,4.888183699621771,1.6528593469227675,0.9279140608934155,3.5265305294398437,5.433367730723794,0.09535290251136613,28.383527300714984
Zambia,AFR,"16,100,587.00",Sub-Saharan Africa,A,"2,027,191.30","1,156,376.00","870,815.30",93.00,97.14,97.14,"758,646.00","1,204,200",63.00%,"706,743","1,119,200",63.15%,"51,903.00","85,000.00",61%,"910,000","170,000","574,639.14","103,700.00",20236.2,2806.44,9888.28,81.24,417.56,10325.48,3075.17,2842.7,10049.21,10586.87,164.16,70473.31,,,,,,,,,,,,,,,,,,,,,,,,,,,Uganda,"1,704,291.00",United Arab Emirates,299.13,,,,,,,,,,,,,,,,,,20208.43818371698,2798.442831803566,9858.987921536545,81.27594813358405,417.5966575291575,10326.474694865889,3075.442528426608,2835.3500462442034,10028.009204749647,10401.732583892255,164.2586455571243,70196.00924645556
Zimbabwe,AFR,"15,777,451.00",Sub-Saharan Africa,A,"2,526,567.30","1,902,673.00","623,894.30",86.00,85.00,91.00,"878,461.00","1,416,873",62.00%,"817,397","1,339,873",61.01%,"61,064.00","77,000.00",80%,"1,100,000","200,000","671,061.35","160,000.00",52929.81,5400.58,24512.04,152.77,787.39,30429.67,9741.31,6523.24,25328.34,33087.55,521.85,189414.55,,,,,,,,,,,,,,,,,,,,,,,,,,,Ukraine,"368,306.80",United Kingdom,700.57,,,,,,,,,,,,,,,,,,52880.71625389999,5385.591257655218,24457.92984710209,152.8422035948237,787.4558667146142,30433.4572493243,9742.465123327423,6510.20781072757,25289.377406381056,32499.82337546744,522.1753001426717,188662.0416943372
,,,,,,,,,,,,,,"13,194,904",,,"806,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Arab Emirates,"12,903.31",United States,"5,960.90",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sources / More details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3892.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,"12,940.98",Uruguay,146.82,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHO groupings (A & B):,https://docs.google.com/spreadsheet/ccc?key=0AoC8QSR3KjbYdHhORDZtdFNYOEtuMUtHM2REWWhzSWc#gid=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2211955.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,"354,844.30",Uzbekistan,125.40,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antiretroviral coverage:,https://docs.google.com/spreadsheet/ccc?key=0AoC8QSR3KjbYdHhORDZtdFNYOEtuMUtHM2REWWhzSWc#gid=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68470.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uruguay,"7,240.11",Vanuatu,95.28,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regimen breakdowns,https://docs.google.com/spreadsheet/ccc?key=0AoC8QSR3KjbYdHhORDZtdFNYOEtuMUtHM2REWWhzSWc#gid=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194717.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,"25,647.92",Venezuela,"5,024.04",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drugs and manufacturers,https://docs.google.com/spreadsheet/ccc?key=0AoC8QSR3KjbYdHhORDZtdFNYOEtuMUtHM2REWWhzSWc#gid=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38879.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanuatu,521.57,Vietnam,"3,777.66",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121820.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venezuela,"96,054.95","Virgin Islands, U.S.",10.74,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vietnam,"325,901.00",Wales,21.53,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virgin Islands, U.S.",394.02,West Midlands,52.92,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wales,803.30,Western Europe,"3,924.34",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Midlands,800.12,Western Sub-Saharan Africa,"3,472,191.00",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Europe,"187,575.20",Yemen,888.08,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Sub-Saharan Africa,"10,702,114.00",Yorkshire and the Humber,43.28,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yemen,"7,299.47",Zambia,"870,815.30",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yorkshire and the Humber,684.36,Zimbabwe,"623,894.30",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zambia,"1,156,376.00",,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zimbabwe,"1,902,673.00",,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
